A05-01;HES;Opdrachtgever;HES;Amarada Hess
A05-01;HES;Huidige eigenaar;HES;Hess
A05-01;HES;Boorgatstatus;Plugged and abandoned;Abandoned
A05-01;HES;Aangeleverde Y;55.6817094;55.68169722
A05-01;HES;Aangeleverde X;3.5204653;3.5205111
A08-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
A11-01;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
A12-01;Tenneco;Boorgatstatus;Plugged and abandoned;Abandoned
A12-02;Petrogas E&P Netherlands B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
A12-03;Petrogas E&P Netherlands B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
A12-A-01;Petrogas;Boorgatstatus;Producing;Producing/Injecting
A12-A-02;Petrogas;Boorgatstatus;Producing;Producing/Injecting
A12-A-03;Petrogas;Boorgatstatus;Producing;Producing/Injecting
A12-A-04;Petrogas;Boorgatstatus;Producing;Producing/Injecting
A12-A-05;Petrogas;Boorgatstatus;Producing;Producing/Injecting
A12-A-06;Petrogas;Boorgatstatus;Producing;Producing/Injecting
A12-A-07-S1;Chevron;Boorgatstatus;Producing;Producing/Injecting
A14-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
A14-02;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
A15-01;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
A15-02;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
A15-03;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
A15-04;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
A15-04-S1;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
A16-01;Total;Boorgatstatus;Plugged and abandoned;Abandoned
A17-01;Mobil;Boorgatstatus;Plugged and abandoned;Abandoned
A18-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
A18-02;Petrogas E&P Netherlands B.V.;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
A18-02-S1;Petrogas E&P Netherlands B.V.;Boorgatstatus;Plugged back and sidetracked;Abandoned
A18-02-S2;Petrogas E&P Netherlands B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
ACA-11;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
AHM-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
AHO-E-55;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
AKM-01;Vermilion Energy Netherlands B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
AKM-02;Vermilion Energy Netherlands B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
AKM-03;Vermilion Energy Netherlands B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
AKM-04;Vermilion Energy Netherlands B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
AKM-05;Vermilion Energy Netherlands B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
AKM-06;Vermilion Energy Netherlands B.V.;Boorgatstatus;Producing;Producing/Injecting
AKM-07;Vermilion Energy Netherlands B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
AKM-08;Vermilion Energy Netherlands B.V.;Boorgatstatus;Producing;Producing/Injecting
AKM-09;Vermilion Energy Netherlands B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
AKM-10-S1;Chevron;Boorgatstatus;Producing;Producing/Injecting
AKM-11;Tulip Oil Netherlands B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
AKM-13;Vermilion Energy Netherlands B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
AKM-14;Vermilion Energy Netherlands B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
AKM-15;Vermilion Energy Netherlands B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
AKM-16;Vermilion Energy Netherlands B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
AKM-17;Vermilion Energy Netherlands B.V.;Boorgatstatus;Temporarily abandoned;Suspended
ALD-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
ALE-01;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
ALM-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
ALO-01;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
ALO-01-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
ALP-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
ALT-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
AME-01;Mobil;Boorgatstatus;Closed-in;Abandoned
AME-02;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
AME-02-S1;NAM;Boorgatstatus;Closed-in;Abandoned
AME-102;NAM;Boorgatstatus;Plugged back and sidetracked;Technisch mislukt en sidetracked
AME-102-S1;NAM;Boorgatstatus;Plugged back;Abandoned
AME-102-S2;NAM;Boorgatstatus;Plugged back;Abandoned
AME-103;NAM;Boorgatstatus;Plugged and abandoned;Plugged back and sidetracked
AME-103-S1;NAM;Boorgatstatus;Plugged and abandoned;Closed-in
AME-105;NAM;Boorgatstatus;Producing;Producing/Injecting
AME-106;NAM;Boorgatstatus;Producing;Producing/Injecting
AME-107-S1;NAM;Boorgatstatus;Producing;Producing/Injecting
AME-201;NAM;Boorgatstatus;Producing;Producing/Injecting
AME-202;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
AME-202-S1;NAM;Boorgatstatus;Suspended;Abandoned
AME-203-S2;NAM;Boorgatstatus;Plugged;Abandoned
AME-204;NAM;Boorgatstatus;Plugged back and sidetracked;Technisch mislukt en sidetracked
AME-204-S1;NAM;Boorgatstatus;Producing;Producing/Injecting
AME-205-S2;NAM;Boorgatstatus;Producing;Producing/Injecting
AML-01;Nederlandse Aardolie Maatschappij B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
AML-02;Nederlandse Aardolie Maatschappij B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
AMN-01;Mobil;Boorgatstatus;Plugged and abandoned;Abandoned
AMN-02;NAM;Boorgatstatus;Plugged and abandoned;Suspended
AMO-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
AMO-02;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
AMO-03;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
AMO-04;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
AMR-01;NAM;Boorgatstatus;Producing;Producing/Injecting
AMR-02;NAM;Boorgatstatus;Producing;Producing/Injecting
AMR-03;NAM;Boorgatstatus;Producing;Producing/Injecting
AMR-04;NAM;Boorgatstatus;Producing;Producing/Injecting
AMR-05-S2;NAM;Boorgatstatus;Producing;Producing/Injecting
AMR-06;NAM;Boorgatstatus;Producing;Producing/Injecting
AMR-07;NAM;Boorgatstatus;Producing;Producing/Injecting
AMR-08;NAM;Boorgatstatus;Producing;Producing/Injecting
AMR-09;NAM;Boorgatstatus;Producing;Producing/Injecting
AMR-10;NAM;Boorgatstatus;Producing;Producing/Injecting
AMR-11;NAM;Boorgatstatus;Producing;Producing/Injecting
AMR-12-S1;NAM;Boorgatstatus;Producing;Producing/Injecting
ANA-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
AND-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
AND-02;NAM;Boorgatstatus;Closed-in;Abandoned
AND-03;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
AND-03-S1;NAM;Boorgatstatus;Producing;Abandoned
AND-03-S2;NAM;Boorgatstatus;Closed-in;Abandoned
AND-04;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
AND-05;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
AND-06;Vermilion Oil and Gas Netherlands;Boorgatstatus;Plugged;Plugged back and sidetracked
ANJ-02-S3;NAM;Boorgatstatus;Producing;Closed-in
ANJ-03;NAM;Boorgatstatus;Producing;Producing/Injecting
ANJ-04;NAM;Boorgatstatus;Plugged and abandoned;Plugged back and sidetracked
ANJ-04-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
ANJ-04-S2;NAM;Boorgatstatus;Producing;Closed-in
ANJ-05;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
ANJ-05-S1;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
ANJ-05-S2;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
ANL-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
ANN-04-S1;NAM;Boorgatstatus;Producing;Producing/Injecting
ANN-05;NAM;Boorgatstatus;Producing;Producing/Injecting
ANN-06;NAM;Boorgatstatus;Producing;Producing/Injecting
ANS-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
ANV-02;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Plugged back and sidetracked
ANV-02-S1;NAM;Boorgatstatus;Plugged back and sidetracked;Technisch mislukt en sidetracked
ANV-02-S2;NAM;Boorgatstatus;Closed-in;Suspended
ANV-03;NAM;Boorgatstatus;Closed-in;Observing
ANV-04;NAM;Boorgatstatus;-;Abandoned
